                                              Software Resources List                                                   Page     1
5770SS1 V7R5M0  220415                                                                            PUB400    10/06/23  18:06:59 UTC
                                                      Software Resources List
 Resource                         Feature
    ID       Option    Feature     Type      Library       Release       Description
 5770SS1     1          2939       *LNG      QSYS2939      V7R5M0        Extended Base Support
 5770SS1     1          2940       *LNG      QSYS2940      V7R5M0        Extended Base Support
 5770SS1     1          2942       *LNG      QSYS2942      V7R5M0        Extended Base Support
 5770SS1     1          2954       *LNG      QSYS2954      V7R5M0        Extended Base Support
 5770SS1     1          2956       *LNG      QSYS2956      V7R5M0        Extended Base Support
 5770SS1     1          2957       *LNG      QSYS2957      V7R5M0        Extended Base Support
 5770SS1     1          2958       *LNG      QSYS2958      V7R5M0        Extended Base Support
 5770SS1     1          2961       *LNG      QSYS2961      V7R5M0        Extended Base Support
 5770SS1     1          2962       *LNG      QSYS2962      V7R5M0        Extended Base Support
 5770SS1     1          2963       *LNG      QSYS2963      V7R5M0        Extended Base Support
 5770SS1     1          2966       *LNG      QSYS2966      V7R5M0        Extended Base Support
 5770SS1     1          2972       *LNG      QSYS2972      V7R5M0        Extended Base Support
 5770SS1     1          2974       *LNG      QSYS2974      V7R5M0        Extended Base Support
 5770SS1     1          2975       *LNG      QSYS2975      V7R5M0        Extended Base Support
 5770SS1     1          2976       *LNG      QSYS2976      V7R5M0        Extended Base Support
 5770SS1     1          2978       *LNG      QSYS2978      V7R5M0        Extended Base Support
 5770SS1     1          2979       *LNG      QSYS2979      V7R5M0        Extended Base Support
 5770SS1     1          2980       *LNG      QSYS2980      V7R5M0        Extended Base Support
 5770SS1     1          2981       *LNG      QSYS2981      V7R5M0        Extended Base Support
 5770SS1     1          2984       *LNG      QSYS2984      V7R5M0        Extended Base Support
 5770SS1     1          2986       *LNG      QSYS2986      V7R5M0        Extended Base Support
 5770SS1     1          2987       *LNG      QSYS2987      V7R5M0        Extended Base Support
 5770SS1     1          2989       *LNG      QSYS2989      V7R5M0        Extended Base Support
 5770SS1     1          2992       *LNG      QSYS2992      V7R5M0        Extended Base Support
 5770SS1     1          2994       *LNG      QSYS2994      V7R5M0        Extended Base Support
 5770SS1     1          2995       *LNG      QSYS2995      V7R5M0        Extended Base Support
 5770SS1     1          2996       *LNG      QSYS2996      V7R5M0        Extended Base Support
 5770SS1     1          2998       *LNG      QSYS2998      V7R5M0        Extended Base Support
 5770SS1     2          2911       *LNG      QSYS2911      V7R4M0        Online Information
 5770SS1     2          5050       *CODE     QHLPSYS       V7R5M0        Online Information
 5770SS1     2          2902       *LNG      QSYS2902      V7R5M0        Online Information
 5770SS1     2          2903       *LNG      QSYS2903      V7R5M0        Online Information
 5770SS1     2          2904       *LNG      QSYS2904      V7R5M0        Online Information
 5770SS1     2          2905       *LNG      QSYS2905      V7R5M0        Online Information
 5770SS1     2          2909       *LNG      QSYS2909      V7R5M0        Online Information
 5770SS1     2          2912       *LNG      QSYS2912      V7R5M0        Online Information
 5770SS1     2          2913       *LNG      QSYS2913      V7R5M0        Online Information
 5770SS1     2          2914       *LNG      QSYS2914      V7R5M0        Online Information
 5770SS1     2          2922       *LNG      QSYS2922      V7R5M0        Online Information
 5770SS1     2          2923       *LNG      QSYS2923      V7R5M0        Online Information
 5770SS1     2          2924       *LNG      QHLPSYS       V7R5M0        Online Information
 5770SS1     2          2925       *LNG      QSYS2925      V7R5M0        Online Information
 5770SS1     2          2926       *LNG      QSYS2926      V7R5M0        Online Information
 5770SS1     2          2928       *LNG      QSYS2928      V7R5M0        Online Information
 5770SS1     2          2929       *LNG      QSYS2929      V7R5M0        Online Information
 5770SS1     2          2930       *LNG      QSYS2930      V7R5M0        Online Information
 5770SS1     2          2931       *LNG      QSYS2931      V7R5M0        Online Information
 5770SS1     2          2932       *LNG      QSYS2932      V7R5M0        Online Information
 5770SS1     2          2933       *LNG      QSYS2933      V7R5M0        Online Information
 5770SS1     2          2937       *LNG      QSYS2937      V7R5M0        Online Information
 5770SS1     2          2938       *LNG      QSYS2938      V7R5M0        Online Information
 5770SS1     2          2939       *LNG      QSYS2939      V7R5M0        Online Information
 5770SS1     2          2940       *LNG      QSYS2940      V7R5M0        Online Information
 5770SS1     2          2942       *LNG      QSYS2942      V7R5M0        Online Information
 5770SS1     2          2954       *LNG      QSYS2954      V7R5M0        Online Information
 5770SS1     2          2956       *LNG      QSYS2956      V7R5M0        Online Information
 5770SS1     2          2957       *LNG      QSYS2957      V7R5M0        Online Information
 5770SS1     2          2958       *LNG      QSYS2958      V7R5M0        Online Information
 5770SS1     2          2961       *LNG      QSYS2961      V7R5M0        Online Information
 5770SS1     2          2962       *LNG      QSYS2962      V7R5M0        Online Information
 5770SS1     2          2963       *LNG      QSYS2963      V7R5M0        Online Information
 5770SS1     2          2966       *LNG      QSYS2966      V7R5M0        Online Information
 5770SS1     2          2972       *LNG      QSYS2972      V7R5M0        Online Information
 5770SS1     2          2974       *LNG      QSYS2974      V7R5M0        Online Information
 5770SS1     2          2975       *LNG      QSYS2975      V7R5M0        Online Information
 5770SS1     2          2976       *LNG      QSYS2976      V7R5M0        Online Information
 5770SS1     2          2978       *LNG      QSYS2978      V7R5M0        Online Information
 5770SS1     2          2979       *LNG      QSYS2979      V7R5M0        Online Information
 5770SS1     2          2980       *LNG      QSYS2980      V7R5M0        Online Information
 5770SS1     2          2981       *LNG      QSYS2981      V7R5M0        Online Information
 5770SS1     2          2984       *LNG      QSYS2984      V7R5M0        Online Information
 5770SS1     2          2986       *LNG      QSYS2986      V7R5M0        Online Information
 5770SS1     2          2987       *LNG      QSYS2987      V7R5M0        Online Information
 5770SS1     2          2989       *LNG      QSYS2989      V7R5M0        Online Information
 5770SS1     2          2992       *LNG      QSYS2992      V7R5M0        Online Information
 5770SS1     2          2994       *LNG      QSYS2994      V7R5M0        Online Information
 5770SS1     2          2995       *LNG      QSYS2995      V7R5M0        Online Information
 5770SS1     2          2996       *LNG      QSYS2996      V7R5M0        Online Information
 5770SS1     2          2998       *LNG      QSYS2998      V7R5M0        Online Information
 5770SS1     3          2911       *LNG      QSYS2911      V7R4M0        Extended Base Directory Support
 5770SS1     3          5050       *CODE     QSYSDIR       V7R5M0        Extended Base Directory Support
 5770SS1     3          2902       *LNG      QSYS2902      V7R5M0        Extended Base Directory Support
 5770SS1     3          2903       *LNG      QSYS2903      V7R5M0        Extended Base Directory Support
 5770SS1     3          2904       *LNG      QSYS2904      V7R5M0        Extended Base Directory Support
 5770SS1     3          2905       *LNG      QSYS2905      V7R5M0        Extended Base Directory Support
 5770SS1     3          2909       *LNG      QSYS2909      V7R5M0        Extended Base Directory Support
 5770SS1     3          2912       *LNG      QSYS2912      V7R5M0        Extended Base Directory Support
 5770SS1     3          2913       *LNG      QSYS2913      V7R5M0        Extended Base Directory Support
 5770SS1     3          2914       *LNG      QSYS2914      V7R5M0        Extended Base Directory Support
 5770SS1     3          2922       *LNG      QSYS2922      V7R5M0        Extended Base Directory Support
 5770SS1     3          2923       *LNG      QSYS2923      V7R5M0        Extended Base Directory Support
 5770SS1     3          2924       *LNG      QSYSDIR       V7R5M0        Extended Base Directory Support
 5770SS1     3          2925       *LNG      QSYS2925      V7R5M0        Extended Base Directory Support
 5770SS1     3          2926       *LNG      QSYS2926      V7R5M0        Extended Base Directory Support
 5770SS1     3          2928       *LNG      QSYS2928      V7R5M0        Extended Base Directory Support
 5770SS1     3          2929       *LNG      QSYS2929      V7R5M0        Extended Base Directory Support
 5770SS1     3          2930       *LNG      QSYS2930      V7R5M0        Extended Base Directory Support
 5770SS1     3          2931       *LNG      QSYS2931      V7R5M0        Extended Base Directory Support
 5770SS1     3          2932       *LNG      QSYS2932      V7R5M0        Extended Base Directory Support
 5770SS1     3          2933       *LNG      QSYS2933      V7R5M0        Extended Base Directory Support
 5770SS1     3          2937       *LNG      QSYS2937      V7R5M0        Extended Base Directory Support
 5770SS1     3          2938       *LNG      QSYS2938      V7R5M0        Extended Base Directory Support
 5770SS1     3          2939       *LNG      QSYS2939      V7R5M0        Extended Base Directory Support
 5770SS1     3          2940       *LNG      QSYS2940      V7R5M0        Extended Base Directory Support
 5770SS1     3          2942       *LNG      QSYS2942      V7R5M0        Extended Base Directory Support
 5770SS1     3          2954       *LNG      QSYS2954      V7R5M0        Extended Base Directory Support
 5770SS1     3          2956       *LNG      QSYS2956      V7R5M0        Extended Base Directory Support
 5770SS1     3          2957       *LNG      QSYS2957      V7R5M0        Extended Base Directory Support
 5770SS1     3          2958       *LNG      QSYS2958      V7R5M0        Extended Base Directory Support
 5770SS1     3          2961       *LNG      QSYS2961      V7R5M0        Extended Base Directory Support
 5770SS1     3          2962       *LNG      QSYS2962      V7R5M0        Extended Base Directory Support
 5770SS1     3          2963       *LNG      QSYS2963      V7R5M0        Extended Base Directory Support
 5770SS1     3          2966       *LNG      QSYS2966      V7R5M0        Extended Base Directory Support
 5770SS1     3          2972       *LNG      QSYS2972      V7R5M0        Extended Base Directory Support
